Exercise,Exercise,Muscle Group
Sled Push,sled push, quadriceps
Sled pull,sled push, quadriceps
Walking Lunges,barbell walking lunge, quadriceps
Cycling on Stationary Bike,,
Incline Bench Press,machine bench press, chest
Dips,,
Flys,,
Triceps Pushdowns,triceps pushdown, triceps
Lean Away Lateral Raises,lying one-arm lateral raise, shoulders
Burpees,,
Wall Balls,,
Pull-Ups with Wide Overhand Grip,,
Rows with Close Grip,,
Preacher Curls,preacher curl, biceps
Rowing Machine,,
SkiErg,,
Walking Sandbag Lunges,,
Box Jumps,front box jump, hamstrings
Farmer's Walk,farmer's walk, forearms
Running,running, quadriceps
Bench Press,bent press, abdominals
Standing Shoulder Press,,
Behind-the-Back Curls,,
Shrugs,,
Bent-Over Rows,bent over barbell row, middle back
Chest Press,cable chest press, chest
Running on Treadmill,jogging-treadmill, quadriceps
Crunches,crunches, abdominals
Leg Raises,rear leg raises, quadriceps
Russian Twists With Kettlebell,,
Side Bends,,
Triceps Pushdowns with Rope,triceps pushdown, triceps
Squats,sit squats, quadriceps
Standing Calf Raises,standing calf raises, calves
Seated Leg Curls,seated leg curl, hamstrings
Goblet Squat & Press,goblet squat, quadriceps
Curls,,
One-Arm Rows,,
Lateral Raises,side lateral raise, shoulders
Rows with Wide Grip,,
Decline Crunches,decline crunch, abdominals
Russian Twists,russian twist, abdominals
Reverse Flys,reverse flyes, shoulders
Seated Shoulder Press,seated cable shoulder press, shoulders
Deadlifts,sumo deadlift, hamstrings
Seated Calf Raises,seated calf raise, calves
Single Arm Tricep Pulldowns,single-arm push-up, chest
Kneeling Tricep Pull Throughs,,
Chest-Supported Rows Wide Neutral Grip,,
Lat Pulldowns with Wide Overhand Grip,wide-grip lat pulldown, lats
Leg Press,leg press, quadriceps
Overhead Triceps Extensions,sled overhead triceps extension, triceps
Hammer Curls,hammer curls, biceps
Gorilla Rows,,
Butterfly with Wide Grip,,
Sit-Ups,sit-up, abdominals
Lat Pulldowns with Wide Neutral Grip,wide-grip lat pulldown, lats
Face Pulls with Rope,,
Back Extensions on Roman Chair,,
Lying Leg Curls,lying leg curls, hamstrings
Pullovers,,
tandalone workout,,
Sled Push with Low Grip,,
Hip Abduction,band hip adductions, adductors
Leg Extensions,leg extensions, quadriceps
Seated Flys,seated glute, glutes
Hip Adduction,band hip adductions, adductors
Low Cable Flys,,
Chest-Supported T-Bar Rows with Wide Neutral Grip,,
Hack Squats,hack squat, quadriceps
Ab Rollouts with Ab Wheel,,
Plank pull-throughs,pull through, glutes
Plank,plank, abdominals
Incline Chest Press,incline cable chest press, chest
Butterfly with Close Grip,,
Crunch Machine,ab crunch machine, abdominals
Front Raises,front leg raises, hamstrings
Incline Reverse Flys,reverse machine flyes, shoulders
Seated Lateral Raises,seated side lateral raise, shoulders
Reverse Wrist Curls on Bench,palms-down wrist curl over a bench, forearms
Incline Rows,,
Romanian Deadlifts,romanian deadlift, hamstrings
Calf Raises on Leg Press,calf press on the leg press machine, calves
Upright Rows,upright cable row, traps
Assisted Dips,,
